"id","data_venda","cliente","vendedor","produto","categoria","fornecedor","quantidade","valor_venda","valor_custo"
1,"2017-10-08","Victor Sousa","RODRIGO BIO","CAMA CASAL","MOVEIS","BRASIL MADEIRAS",2,"1000.00","752.00"
2,"2015-03-07","Giovana Cardoso","PEDRO NUNES","BARCO DE PEDRA","LIVROS","EDITORA AMAZONIA",2,"37.00","20.00"
3,"2017-07-24","Matheus Ferreira","MARCELO WITEMBERG","RIO DE JANEIRO / LIMA","PASSAGENS","LINHAS LATINAS DE AVIÃ•ES",1,"1900.00","1570.00"
4,"2017-01-07","Amanda Cavalcanti","FABIO AUGUSTO","LEITOR DE CARTOES MULTILASER","INFORMATICA","MULTILASER",2,"24.00","11.00"
5,"2016-03-09","Vinícius Silva","RODRIGO BIO","RIO DE JANEIRO / MIAMI","PASSAGENS","AMERICA LINES EXPRESS",4,"1900.00","1763.00"
6,"2017-12-21","Marina Pereira","LILIAN SALINAS","SAMSUNG E1203","CELULARES","SAMSUNG",3,"560.00","385.00"
7,"2017-02-13","Fábio Fernandes","RAFAELA LIMA","SMART TV PANASONIC 32","TV E AUDIO","PANASONIC",5,"1099.00","700.00"
8,"2017-08-23","Mateus Cardoso","GERALDO FRANCISCO","HOME THEATER PANASONIC","TV E AUDIO","PANASONIC",4,"245.00","150.00"
9,"2017-04-24","Fernanda Pinto","HERMES MACEDO","DINOSSAUROS","DVDS","STUDIOS HB",2,"40.00","18.00"
10,"2017-07-05","Martim Oliveira","MARCELO WITEMBERG","CAVALEIRO DAS TREVAS","GAMES","BILLZAR GAMES",1,"110.00","50.00"
11,"2016-10-13","Gabriela Costa","SERGIO AGUDO","PLACA DE SOM","INFORMATICA","GFORCE",3,"290.00","130.00"
12,"2017-07-18","Lucas Rodrigues","FABIO AUGUSTO","NOTEBOOK SONY JK","INFORMATICA","SONY",4,"2800.00","1999.00"
13,"2016-10-27","Samuel Lima","DAVID BORGES","CAVALEIROS DE PRATA","GAMES","BILLZAR GAMES",3,"145.00","89.00"
14,"2017-01-15","Vitor Carvalho","GERALDO FRANCISCO","O SUPER-HERÓI","DVDS","STUDIOS HB",2,"45.00","20.00"
15,"2016-11-04","Kai Costa","RODRIGO BIO","GRILL GEROGE FOREMAN","ELETRODOMESTICOS","GANCA",2,"250.00","210.00"
16,"2017-01-04","Tiago Melo","RODRIGO BIO","DESKTOP I5","INFORMATICA","ACER",3,"2100.00","1020.00"
17,"2017-05-20","Luan Rocha","RENE CHIARI","RIO DE JANEIRO / CURITIBA","PASSAGENS","LINHAS LATINAS DE AVIÃ•ES",2,"450.00","400.00"
18,"2016-08-01","Luís Ribeiro","RENE CHIARI","TECLADO WIRELESS","INFORMATICA","GENIUS",3,"89.00","70.00"
19,"2017-12-14","Emilly Costa","RENE CHIARI","NOKIA ASHA 202","CELULARES","NOKIA",3,"700.00","430.00"
20,"2016-10-17","Thaís Almeida","CLARA MAFRA","TV LED 60 SONY","TV E AUDIO","SONY",4,"3900.00","3051.00"
21,"2017-09-14","Nicole Castro","RAFAELA LIMA","O PEQUENO","DVDS","EM SPORTS",4,"43.00","23.00"
22,"2016-04-25","Isabela Souza","TERESA CRISTINA","HD 1T SAMSUNG","INFORMATICA","SAMSUNG",2,"260.00","110.00"
23,"2015-05-14","Luiza Rocha","MARCELO WITEMBERG","DESKTOP I5","INFORMATICA","ACER",4,"2100.00","1020.00"
24,"2017-07-25","Isabella Silva","CARLOS SENRA","O PEQUENO","DVDS","EM SPORTS",5,"43.00","23.00"
25,"2015-11-26","Renan Gomes","RODRIGO BIO","O SENHOR DO CRIME","LIVROS","EDITORA AMAZONIA",5,"199.00","120.00"
26,"2015-06-24","Beatrice Araujo","TERESA CRISTINA","MOTO G6","CELULARES","MOTOROLA",4,"860.00","620.00"
27,"2017-10-26","Evelyn Souza","ANTONIO JESUS","PC DUAL CORE","INFORMATICA","PHILIPS",4,"1350.00","890.00"
28,"2017-06-06","Arthur Martins","DAVID BORGES","CADEIRA DE FERRO","MOVEIS","BRASIL MADEIRAS",2,"300.00","160.00"
29,"2017-01-03","Bruno Barros","RAFAELA LIMA","SONY I5","INFORMATICA","SONY",2,"1800.00","800.00"
30,"2016-02-04","Rafael Rodrigues","JOAO NUNES","RIO DE JANEIRO / CURITIBA","PASSAGENS","LINHAS LATINAS DE AVIÃ•ES",1,"450.00","400.00"
31,"2016-04-08","Isabela Azevedo","SILVIO BAHIANA","NOKIA QUARTY","CELULARES","NOKIA",2,"300.00","190.00"
32,"2016-04-24","Sofia Araujo","FABIO AUGUSTO","ARMARIO COZINHA 6 PORTAS","MOVEIS","BRASIL MADEIRAS",4,"2500.00","2030.00"
33,"2016-12-17","Luiz Dias","RODRIGO MARQUES","TV LED 32 SAMSUNG","TV E AUDIO","SAMSUNG",4,"1210.00","763.00"
34,"2015-09-09","Anna Oliveira","RODRIGO MARQUES","MOCHILA NOTEBOOK 14 POL","INFORMATICA","GENIUS",2,"89.00","61.00"
35,"2015-11-02","Manuela Fernandes","CLARA MAFRA","THIEF","GAMES","BRAZUCA JOGOS",1,"140.00","70.00"
36,"2015-05-24","Larissa Melo","PILAR SANCHES","COMBO TECLADO E MOUSE","INFORMATICA","GENIUS",1,"130.00","89.00"
37,"2015-05-09","Maria Rocha","RAFAELA LIMA","SONY I7","INFORMATICA","SONY",3,"2500.00","1300.00"
38,"2017-03-22","Mariana Cavalcanti","DAVID BORGES","CASOAS ANTIGOS","DVDS","EM SPORTS",4,"37.00","20.00"
39,"2016-01-12","Maria Silva","DAVID BORGES","PLAYSTATION 3","GAMES","SONY",2,"980.00","590.00"
40,"2015-04-04","João Silva","RENATA MONTEIRO","CARTAO SD 128 GB SANDISK","INFORMATICA","SANDISK",4,"156.00","99.00"
41,"2016-09-24","Kauê Carvalho","MARCELO WITEMBERG","TECLADO WIRELESS","INFORMATICA","GENIUS",4,"89.00","70.00"
42,"2015-11-23","Felipe Silva","RODRIGO BIO","FAMILIA PARATTO","DVDS","EM SPORTS",4,"134.00","100.00"
43,"2017-12-17","Joao Barbosa","SERGIO AGUDO","ESCOLINHA DO JUCA","DVDS","STUDIOS HOLLYWOOD",1,"56.00","23.00"
44,"2017-03-10","Beatrice Alves","RODRIGO MARQUES","MESA JANTAR 6 LUGARES","MOVEIS","BRASIL MADEIRAS",1,"2500.00","1900.00"
45,"2015-10-07","Sofia Oliveira","RENE CHIARI","SAMSUNG DUOS","CELULARES","SAMSUNG",5,"1100.00","750.00"
46,"2017-04-16","José Carvalho","RENE CHIARI","NOTEBOOK HP ONE","INFORMATICA","HP",4,"1870.00","1300.00"
47,"2017-01-03","Clara Souza","DAVID BORGES","FANTASY STAR","GAMES","JOGAR GAMES",5,"89.00","30.00"
48,"2016-03-13","André Martins","PEDRO NUNES","C# PRATICO","LIVROS","MICROSOFT",4,"60.00","45.00"
49,"2015-08-25","Fernanda Araujo","EDUARDO SANTOS","JUST DANCE","GAMES","BILLZAR GAMES",3,"99.00","34.00"
